trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
235,False,"{'a': 0.01, 'e': 0.385543073615936}",25,15,15.2309219013155,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.01, 'e': 0.38092482436688185}",30,10,16.776755610074343,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.01, 'e': 0.37629705201705815}",25,16,-68.69698376762008,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 2}",1
238,False,"{'a': 0.01, 'e': 0.371659872260533}",30,16,14.022011341043662,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.01, 'e': 0.3670134010265584}",20,16,6.913453225414749,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.01, 'e': 0.3623577544766736}",20,10,-27.74696655474123,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
241,False,"{'a': 0.01, 'e': 0.3576930490017995}",30,12,-2.202387823696012,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 0}",1
242,False,"{'a': 0.01, 'e': 0.3530194012193304}",20,13,-9.735272815096298,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
243,False,"{'a': 0.01, 'e': 0.348336927970217}",20,7,-45.11000047848036,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 1}",1
244,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,12,3.9185200641543374,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
245,False,"{'a': 0.01, 'e': 0.3389459735361172}",20,11,4.152598240412726,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
246,False,"{'a': 0.01, 'e': 0.3342377271245026}",20,15,3.702974594241208,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.01, 'e': 0.32952112478711787}",30,20,-4.401491115393511,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
248,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,0,-13.044928035529392,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
249,False,"{'a': 0.01, 'e': 0.32006332420023986}",20,5,-33.24699287738111,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
250,False,"{'a': 0.01, 'e': 0.3153223623952687}",35,20,-4.491421166373233,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
251,False,"{'a': 0.01, 'e': 0.3105735175476604}",25,9,-22.63587577985038,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
252,False,"{'a': 0.01, 'e': 0.30581690837828934}",25,15,7.919936458364148,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
253,False,"{'a': 0.01, 'e': 0.3010526538021365}",20,0,-18.916292776723207,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
254,False,"{'a': 0.01, 'e': 0.29628087292531874}",25,14,13.799774182600295,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
255,False,"{'a': 0.01, 'e': 0.2915016850421088}",30,3,-17.66958113275698,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 0}",1
256,False,"{'a': 0.01, 'e': 0.2867152096319555}",30,18,14.68188931812966,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
257,False,"{'a': 0.01, 'e': 0.2819215663564944}",20,0,-37.52444857486623,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
258,False,"{'a': 0.01, 'e': 0.2771208750565576}",25,13,2.2856294409818876,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
259,False,"{'a': 0.01, 'e': 0.272313255749178}",20,15,9.83791242632132,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,10,-2.0262220980068193,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
261,False,"{'a': 0.01, 'e': 0.26267771404321355}",25,14,7.413344096855157,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
262,False,"{'a': 0.01, 'e': 0.2578500325326696}",25,11,3.1371496686149065,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
263,False,"{'a': 0.01, 'e': 0.25301590478474223}",25,11,2.6126337180297385,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
264,False,"{'a': 0.01, 'e': 0.2481754516523729}",35,16,-63.962284708342295,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
265,False,"{'a': 0.01, 'e': 0.24332879414663827}",25,0,-37.05490320139816,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
266,False,"{'a': 0.01, 'e': 0.23847605343372313}",30,20,4.868734263240306,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
267,False,"{'a': 0.01, 'e': 0.233617350831893}",25,17,7.5219222565102735,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.01, 'e': 0.22875280780845939}",30,7,1.0654913812919378,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 0}",1
269,False,"{'a': 0.01, 'e': 0.22388254597674498}",20,0,18.725555351377707,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
270,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,10,20.604690287139938,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.01, 'e': 0.21412535305356747}",20,12,0.9755858056717994,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.01, 'e': 0.20923866589141926}",20,12,-5.857369157071046,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
273,False,"{'a': 0.01, 'e': 0.20434674777352183}",25,12,22.841173827743173,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.01, 'e': 0.19944972099757285}",25,13,10.174447685845031,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
275,False,"{'a': 0.01, 'e': 0.19454770798898718}",25,15,-23.3271543042268,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
276,False,"{'a': 0.01, 'e': 0.18964083129783424}",25,15,4.2610812026191835,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
277,False,"{'a': 0.01, 'e': 0.1847292135957762}",20,16,5.445088767710964,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.01, 'e': 0.17981297767299936}",20,4,29.94864305744444,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.01, 'e': 0.17489224643514614}",25,11,21.857564678668197,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.01, 'e': 0.16996714290024081}",20,16,5.752194491532938,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.01, 'e': 0.16503779019561562}",20,10,4.838912700071449,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
282,False,"{'a': 0.01, 'e': 0.16010431155483126}",25,18,13.585648159892223,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.01, 'e': 0.15516683031459658}",20,16,8.67553548018378,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.01, 'e': 0.15022546991168584}",25,20,10.339799676661764,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.01, 'e': 0.14528035387985133}",20,12,15.017370340954402,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.01, 'e': 0.14033160584673673}",20,9,18.166211647075027,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
